iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_train_en_params_dist,task_train_tail_params_dist,task_test_loss_pre_optim,task_test_loss_post_optim,task_test_en_params_dist,task_test_tail_params_dist
2190,3.1027308,3.5688365,0.039525136,2306.337,3.3062332,3.7328043,0.03949742,2308.3772
2200,3.3826349,3.2501683,0.041287236,2326.7908,3.3257186,3.9099245,0.041691106,2328.8416
2210,3.4852214,3.9481943,0.04288561,2347.3706,3.340985,4.173209,0.042477846,2349.433
2220,3.6108375,4.0371633,0.04175527,2368.0781,4.0947924,4.834227,0.041795198,2370.159
2230,3.5474548,2.8615718,0.042173672,2388.9102,3.1074686,4.047169,0.041576333,2390.999
2240,3.8319829,3.7215936,0.040935438,2409.8643,2.7037013,3.8162646,0.04125824,2411.9663
2250,3.0600967,3.3778594,0.042682063,2430.946,3.870487,4.035131,0.042726688,2433.063
2260,3.8847642,3.5590615,0.042051174,2452.1594,3.5105662,2.8824015,0.042135444,2454.2874
2270,4.131291,3.5186489,0.046556313,2473.4995,3.6343124,4.5966387,0.04673752,2475.6394
2280,3.304864,3.7429032,0.048865397,2494.6274,3.7333195,4.5299273,0.04938554,2496.7002
2290,3.615285,3.842772,0.05745559,2515.3044,3.1856809,3.8336878,0.058570635,2517.3691
2300,3.0797582,3.9845724,0.06574063,2535.983,3.2004137,4.0937924,0.06622504,2538.0522
2310,3.2726016,4.198786,0.06899293,2556.7495,3.3666806,3.716072,0.06913616,2558.8296
2320,3.1842387,3.1387393,0.06947998,2577.5823,3.492721,3.7535248,0.06951287,2579.673
2330,3.582392,3.4058387,0.069410875,2598.5474,3.523906,3.5952985,0.069360815,2600.6475
2340,3.2045975,3.187529,0.0691811,2619.6235,3.572609,3.5122085,0.06931412,2621.7336
2350,3.2651734,3.3113484,0.06739834,2640.8022,2.8107789,4.0472713,0.06731325,2642.9268
2360,2.908046,3.6683915,0.066799715,2662.1108,2.7023087,3.6457508,0.06675072,2664.2473
2370,3.2585237,3.315997,0.067141764,2683.545,3.5737543,3.5894144,0.06716412,2685.6973
2380,2.8132463,4.000264,0.06657687,2705.1023,3.5259812,3.6316264,0.06647287,2707.265
2390,3.2333603,3.106193,0.06632374,2726.778,3.0793135,3.6312575,0.0662521,2728.9556
2400,3.0484507,3.9940844,0.06580362,2748.578,3.5881243,3.7455876,0.06577668,2750.7656
2410,3.16336,4.5051665,0.06541788,2770.4924,3.5653355,3.5672827,0.065298215,2772.692
2420,2.9374886,3.471955,0.06456916,2792.53,3.5406318,4.4433484,0.064533435,2794.7375
2430,3.0894608,4.070843,0.06417841,2814.684,3.037179,3.6215403,0.06412719,2816.9048
2440,3.6283789,3.3379989,0.06396445,2836.9575,3.3273232,3.5061297,0.063961215,2839.1882
2450,3.3891068,3.528382,0.06368906,2859.3496,3.191967,4.111163,0.06362574,2861.5933
2460,3.3474274,3.3879938,0.062357396,2881.8628,3.1736073,3.6880279,0.06227537,2884.1145
2470,3.093457,3.9863026,0.06169219,2904.4941,2.9381423,4.123612,0.06162403,2906.7603
2480,3.6618419,4.8133373,0.061078787,2927.2454,3.277884,3.922149,0.061041303,2929.5264
2490,3.4075701,4.192118,0.060294915,2950.1138,2.7379417,3.6954,0.060225517,2952.4104
2500,3.0130486,3.4021845,0.059656836,2973.105,3.2920482,3.162357,0.05961873,2975.4116
2510,3.3243887,3.7334623,0.059118696,2996.2158,3.1566463,3.9217067,0.05904461,2998.5366
2520,3.509939,3.9413793,0.0585694,3019.4497,3.7508774,4.4568806,0.05852606,3021.782
2530,3.3422122,3.6131577,0.05793606,3042.7974,3.216725,3.8376758,0.05788467,3045.1394
2540,3.2534766,3.851635,0.057874035,3066.268,3.4551358,3.99321,0.05794719,3068.624
2550,3.2166243,3.210469,0.057966717,3089.8599,3.5721512,4.2290497,0.057936918,3092.226
2560,3.0362098,4.0180273,0.05772856,3113.571,3.8109052,4.203047,0.057700574,3115.9492
2570,2.854511,3.4715815,0.057309955,3137.398,3.2897332,3.1290011,0.05725658,3139.7896
2580,3.1571033,4.414662,0.056887813,3161.35,3.1375148,3.3931437,0.05690937,3163.7515
2590,2.917743,3.4575682,0.056345306,3185.4194,3.113423,3.4142392,0.05627972,3187.8306
2600,3.2907872,3.3973086,0.056299638,3209.61,3.472159,3.3245997,0.05638223,3212.0388
2610,3.7605143,3.9499047,0.056854855,3233.9175,3.7089875,3.3740473,0.056852072,3236.3555
2620,3.6550913,4.0906425,0.056260627,3258.348,3.3830657,3.4299097,0.05615009,3260.7932
2630,3.4494295,3.8052206,0.05543188,3282.8892,3.1624367,3.2410421,0.05538541,3285.3516
2640,3.220239,3.4720862,0.055335023,3307.5513,2.9960866,3.569725,0.05534917,3310.0242
2650,3.3557777,3.5507529,0.055280663,3332.3367,3.3771398,3.4502099,0.055249713,3334.8247
2660,3.1066356,3.2581773,0.05481738,3357.2449,3.2377326,3.384681,0.054756563,3359.7397
2670,3.8540635,4.083028,0.054166246,3382.273,3.574397,3.0502875,0.054099582,3384.7825
2680,3.3971763,4.251075,0.05400036,3407.4207,2.8542526,3.166481,0.053980343,3409.9414
2690,3.7068894,3.4772437,0.053360187,3432.683,3.7360148,4.378069,0.053319287,3435.2148
2700,3.8289382,3.1567252,0.05320082,3458.071,2.686852,3.3857367,0.053197898,3460.6125
2710,3.7203903,4.014121,0.053064805,3483.5781,3.5085309,4.383499,0.053068865,3486.1335
2720,3.9332342,3.8117645,0.0535151,3509.2063,3.4804738,3.8241453,0.053515017,3511.776
2730,3.2285054,3.7349885,0.05307337,3534.9558,3.3673213,3.843399,0.05294484,3537.534
2740,3.7907333,3.699207,0.05209269,3560.8254,3.4262412,3.34606,0.05202193,3563.4219
2750,3.5841217,3.972232,0.0519753,3586.8179,3.999175,3.2155318,0.051951278,3589.4224
2760,3.442607,3.9088156,0.0514058,3612.9224,3.122782,2.9988008,0.05142383,3615.541
2770,3.6545913,4.03076,0.051837217,3639.1504,3.3513093,3.2347755,0.051432453,3641.7817
2780,4.0712075,3.381415,0.049995363,3665.5044,3.6125238,2.9598532,0.049938697,3668.146
2790,3.9241705,3.5346658,0.049631387,3691.974,3.970424,4.3021445,0.049678538,3694.6262
2800,3.7399454,3.5351481,0.05035209,3718.567,3.836509,3.3085923,0.05024314,3721.231
2810,3.9850667,4.029286,0.049362723,3745.2761,3.3119528,3.8204467,0.049296804,3747.95
2820,3.6727128,3.3419578,0.0494828,3772.103,3.4356542,3.5885255,0.04951029,3774.7917
2830,3.4618726,4.0345974,0.049464397,3799.0496,3.6751595,3.0267732,0.04942707,3801.748
2840,3.7176206,3.8313167,0.049278285,3826.1223,3.2786171,3.5090826,0.04926101,3828.834
